accession_id	country	assignment	collection_date
EPI_ISL_18474692	Colombia	2II_F.1.2	2023-02-02
EPI_ISL_18474693	Colombia	2II_F.1.2	2022-10-15
EPI_ISL_18474694	Colombia	2II_F.1.2	2022-10-19
EPI_ISL_18474695	Colombia	2II_F.1.2	2022-11-30
EPI_ISL_18474696	Colombia	2II_F.1.2	2022-12-15
EPI_ISL_18474697	Colombia	2II_F.1.2	2022-11-25
EPI_ISL_18474698	Colombia	2II_F.1.2	2023-02-01
EPI_ISL_18474699	Colombia	2II_F.1.2	2023-02-10
EPI_ISL_18474700	Colombia	2II_F.1.2	2023-02-08
EPI_ISL_18474701	Colombia	2II_F.1.2	2022-11-30
EPI_ISL_18474702	Colombia	2II_F.1.2	2022-11-04
EPI_ISL_18474703	Colombia	2II_F.1.2	2023-02-08
EPI_ISL_18474704	Colombia	2II_F.1.2	2022-11-30
EPI_ISL_18474705	Colombia	2II_F.1.2	2022-11-26
EPI_ISL_18474706	Colombia	2II_F.1.2	2022-11-10
EPI_ISL_18474707	Colombia	2II_F.1.2	2022-12-13
EPI_ISL_18474708	Colombia	2II_F.1.2	2023-02-09
EPI_ISL_18474709	Colombia	2II_F.1.2	2022-05-18
EPI_ISL_18474710	Colombia	2II_F.1.2	2023-02-03
EPI_ISL_18474711	Colombia	2II_F.1.2	2022-11-04
EPI_ISL_18474712	Colombia	2II_F.1.2	2022-10-27
EPI_ISL_18474713	Colombia	2II_F.1.2	2022-10-13
EPI_ISL_18474714	Colombia	2II_F.1.2	2022-10-28
EPI_ISL_18474715	Colombia	2II_F.1.2	2022-10-28
EPI_ISL_18474716	Colombia	2II_F.1.2	2022-11-23
EPI_ISL_18474717	Colombia	2II_F.1.2	2023-01-06
EPI_ISL_18474718	Colombia	2II_F.1.2	2023-02-08
EPI_ISL_18474719	Colombia	2II_F.1.2	2022-12-09
EPI_ISL_18474720	Colombia	2II_F.1.2	2022-12-17
EPI_ISL_18474721	Colombia	2II_F.1.2	2022-11-22
EPI_ISL_18474722	Colombia	2II_F.1.2	2022-11-09
EPI_ISL_18474723	Colombia	2II_F.1.2	2022-11-17
EPI_ISL_18474724	Colombia	2II_F.1.2	2022-11-21
EPI_ISL_18474725	Colombia	2II_F.1.2	2022-10-11
EPI_ISL_18474726	Colombia	2II_F.1.2	2022-11-25
EPI_ISL_18474727	Colombia	2II_F.1.2	2022-11-21
EPI_ISL_18474728	Colombia	2II_F.1.2	2022-12-09
EPI_ISL_18474729	Colombia	2II_F.1.2	2023-02-09
EPI_ISL_18566935	Colombia	2III_D.2	2023-08-18
EPI_ISL_18566936	Colombia	2II_F.1.2	2023-08-27
EPI_ISL_18566937	Colombia	2II_F.1.2	2023-08-14
EPI_ISL_18566938	Colombia	2II_F.1.2	2023-08-13
EPI_ISL_18720080	Colombia	2III_D.2	2023-08-27
EPI_ISL_18720082	Colombia	2III_D.2	2023-10-03
EPI_ISL_18720084	Colombia	2II_F.1.2	2023-08-06
EPI_ISL_18720086	Colombia	2III_D.2	2023-10-18
EPI_ISL_18720100	Colombia	2III_D.2	2023-04-14
EPI_ISL_18720101	Colombia	2III_D.2	2023-08-03
EPI_ISL_18720103	Colombia	2III_D.2	2023-08-21
EPI_ISL_18720104	Colombia	2III_D.2	2023-07-31
EPI_ISL_18720106	Colombia	2III_D.2	2023-02-05
EPI_ISL_18720107	Colombia	2III_D.2	2023-08-01
EPI_ISL_18720109	Colombia	2III_D.2	2023-10-10
EPI_ISL_18720112	Colombia	2III_D.2	2023-10-27
EPI_ISL_18720113	Colombia	2III_D.2	2023-10-24
EPI_ISL_18917099	Colombia	2II_F.1.2	2023-05-01
EPI_ISL_18917100	Colombia	2II_F.1.2	2023-05-03
EPI_ISL_19216381	Colombia	2II_F.1.2	2024-01-23
EPI_ISL_19216382	Colombia	2III_D.2	2024-01-02
EPI_ISL_19216383	Colombia	2III_D.2	2024-01-29
EPI_ISL_19216384	Colombia	2III_D.2	2024-02-04
EPI_ISL_19216385	Colombia	2III_D.2	2024-02-05
EPI_ISL_19216386	Colombia	2III_D.2	2024-01-31
EPI_ISL_19216387	Colombia	2III_D.2	2024-01-30
EPI_ISL_19216388	Colombia	2II_F.1.2	2024-02-22
EPI_ISL_19216414	Colombia	2III_D.2	2024-03-10
EPI_ISL_19216415	Colombia	2II_F.1.2	2024-03-09
EPI_ISL_19216416	Colombia	2II_F.1.2	2024-03-12
EPI_ISL_19216417	Colombia	2III_D.2	2024-03-07
EPI_ISL_19216418	Colombia	2II_F.1.2	2024-03-13
EPI_ISL_19216419	Colombia	2II_F.1.2	2024-03-07
EPI_ISL_19216420	Colombia	2II_F.1.2	2024-03-07
EPI_ISL_19216421	Colombia	2II_F.1.2	2024-03-19
EPI_ISL_19216422	Colombia	2III_D.2	2024-03-13
EPI_ISL_19216423	Colombia	2II_F.1.2	2024-03-03
EPI_ISL_19216424	Colombia	2II_F.1.2	2024-03-04
EPI_ISL_19216425	Colombia	2II_F.1.2	2024-03-25
EPI_ISL_19216426	Colombia	2II_F.1.2	2024-03-09
EPI_ISL_19216427	Colombia	2II_F.1.2	2024-03-28
EPI_ISL_19216428	Colombia	2II_F.1.2	2024-03-24
EPI_ISL_19216429	Colombia	2II_F.1.2	2024-03-23
EPI_ISL_19216430	Colombia	2II_F.1.2	2024-03-25
EPI_ISL_19216431	Colombia	2III_D.2	2024-04-05
EPI_ISL_19216432	Colombia	2II_F.1.2	2024-03-21
EPI_ISL_19216433	Colombia	2II_F.1.2	2024-04-01
EPI_ISL_19216434	Colombia	2II_F.1.2	2024-04-03
EPI_ISL_19216435	Colombia	2II_F.1.2	2024-03-13
EPI_ISL_19216436	Colombia	2II_F.1.2	2024-03-16
EPI_ISL_19216437	Colombia	2III_D.2	2024-04-11
EPI_ISL_19216438	Colombia	2II_F.1.2	2024-04-11
EPI_ISL_19216439	Colombia	2II_F.1.2	2024-04-03
EPI_ISL_19216440	Colombia	2II_F.1.2	2024-04-11
EPI_ISL_19216441	Colombia	2III_D.2	2024-04-11
EPI_ISL_19216442	Colombia	2II_F.1.2	2024-04-10
EPI_ISL_19216443	Colombia	2III_D.2	2024-03-18
EPI_ISL_19216444	Colombia	2II_F.1.2	2024-04-12
EPI_ISL_19216445	Colombia	2II_F.1.2	2024-03-25
EPI_ISL_19216446	Colombia	2II_F.1.2	2024-04-12
EPI_ISL_19216447	Colombia	2II_F.1.2	2024-04-22
EPI_ISL_19257592	Colombia	2II_F.1.2	2024-02-24
EPI_ISL_19257593	Colombia	2III_D.2	2023-07-14
EPI_ISL_19257594	Colombia	2III_D.2	2024-01-27
EPI_ISL_19257595	Colombia	2II_F.1.2	2024-02-09
EPI_ISL_19257596	Colombia	2II_F.1.2	2024-03-06
EPI_ISL_19257597	Colombia	2III_D.2	2023-08-31
EPI_ISL_19257598	Colombia	2II_F.1.2	2023-09-08
EPI_ISL_19257599	Colombia	2III_D.2	2023-10-24
EPI_ISL_19257600	Colombia	2III_D.2	2023-07-29
EPI_ISL_19257601	Colombia	2II_F.1.2	2024-02-09
EPI_ISL_19257602	Colombia	2III_D.2	2024-02-23
EPI_ISL_19257603	Colombia	2III_D.2	2023-12-19
EPI_ISL_19257604	Colombia	2II_F.1.2	2024-02-15
EPI_ISL_19257605	Colombia	2II_F.1.2	2023-09-03
EPI_ISL_19257606	Colombia	2II_F.1.2	2024-01-09
EPI_ISL_19257607	Colombia	2II_F.1.2	2024-02-12
EPI_ISL_19257608	Colombia	2III_D.2	2023-11-16
EPI_ISL_19257609	Colombia	2II_F.1.2	2024-02-25
EPI_ISL_19257610	Colombia	2II_F.1.2	2023-11-12
EPI_ISL_19257611	Colombia	2III_D.2	2023-11-25
EPI_ISL_19257612	Colombia	2II_F.1.2	2024-03-01
EPI_ISL_19257613	Colombia	2III_D.2	2023-08-18
EPI_ISL_19257614	Colombia	2III_D.2	2024-01-25
EPI_ISL_19257615	Colombia	2III_D.2	2023-10-13
EPI_ISL_19257616	Colombia	2III_D.2	2023-10-19
EPI_ISL_19257617	Colombia	2III_D.2	2024-02-29
EPI_ISL_19257618	Colombia	2III_D.2	2024-02-19
EPI_ISL_19257619	Colombia	2III_D.2	2023-10-23
EPI_ISL_19257620	Colombia	2II_F.1.2	2024-03-01
EPI_ISL_19257621	Colombia	2II_F.1.2	2023-11-20
EPI_ISL_19257622	Colombia	2III_D.2	2024-01-30
EPI_ISL_19257623	Colombia	2II_F.1.2	2023-11-17
EPI_ISL_19257624	Colombia	2III_D.2	2024-02-06
EPI_ISL_19257625	Colombia	2III_D.2	2024-01-13
EPI_ISL_19257627	Colombia	2II_F.1.2	2023-12-28
EPI_ISL_19257628	Colombia	2III_D.2	2024-01-31
EPI_ISL_19257629	Colombia	2III_D.2	2024-01-30
